SA2,Buddhism_P,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_P,Christianity_Brethren_P,Christianity_Catholic_P,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_P,Christianity_Christian_nfd_P,Christianity_Othr_Christian_P,Hinduism_P,Islam_P,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_P,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_P,Religious_affiliation_ns_P,tot_p
1243,242,429,282,45,0,3792,11,576,3,55,10,65,31,50,103,3,0,97,295,6,256,6625,0,0,125,34,1391,13,3,1505,16047
1245,401,1245,82,84,3,6684,0,1079,60,66,45,118,76,201,265,34,17,381,494,4,151,1015,6,0,18,25,3532,15,10,1379,17490
1246,371,669,138,49,0,7598,3,970,36,40,7,182,39,129,137,3,9,279,356,0,246,1836,5,0,33,27,1993,4,3,1106,16268
1247,341,316,393,11,0,3257,3,362,36,50,3,54,62,35,103,3,14,105,321,13,163,6132,0,6,62,48,1438,15,3,1469,14818
1248,3,14,0,0,0,35,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,30,0,0,86,180
1249,727,398,410,83,0,7886,18,520,53,49,9,153,66,150,69,26,28,156,637,3,423,6180,0,0,194,26,1741,12,12,1776,21805
1250,115,408,52,33,0,2363,0,455,10,21,7,39,21,81,85,7,6,166,195,0,143,254,0,0,70,13,1243,4,3,599,6393
1251,383,1057,0,303,3,2311,43,164,20,69,87,34,58,191,217,17,22,327,406,95,342,104,3,0,98,83,4319,21,21,1133,11931
1254,856,1270,0,441,0,2952,47,348,16,31,93,49,128,411,431,24,31,505,644,33,567,200,14,3,71,52,4606,37,19,1125,15004
1255,119,661,0,78,51,1947,3,231,21,0,20,57,3,100,116,10,18,204,220,3,48,120,3,0,16,6,1975,8,8,534,6580
1256,712,1263,0,294,0,3922,53,599,20,17,45,196,100,212,269,26,11,523,436,16,458,263,12,0,87,65,4450,31,21,1062,15163
1257,367,824,0,147,26,2054,19,247,9,10,44,62,25,209,180,21,17,253,227,4,178,120,6,0,67,34,2438,7,4,420,8019
1258,473,870,0,149,0,3050,17,476,12,17,31,144,35,154,192,9,20,272,290,0,353,241,11,0,73,46,2848,24,0,662,10469
1259,706,1172,0,424,12,2734,35,429,27,65,61,39,108,222,377,36,34,558,517,9,410,124,11,0,88,58,4588,19,6,1011,13880
1260,1026,1522,3,644,0,3351,89,534,12,118,101,57,166,684,429,47,67,647,748,9,815,203,7,0,134,81,5127,17,6,1081,17725
1261,345,1448,0,491,0,3957,50,775,12,0,119,68,102,271,383,33,85,564,519,6,168,199,18,0,86,103,4858,17,15,1166,15858
1262,114,1240,0,192,3,2094,23,271,9,13,92,17,65,128,214,10,9,405,311,11,42,36,4,0,7,19,3787,16,16,817,9965
1263,270,1264,0,331,6,2483,40,185,30,41,50,3,36,117,267,26,35,335,394,19,169,56,3,0,94,32,4273,34,15,1052,11660
1265,194,1992,0,591,3,4038,52,279,30,31,342,20,60,287,427,30,54,657,734,40,71,67,5,0,27,51,6520,37,16,1248,17903
1266,529,1446,0,734,12,3154,69,260,27,24,121,8,91,314,359,93,102,633,672,119,408,199,16,0,181,83,5928,63,27,1281,16953
1267,440,1880,0,1015,7,3659,129,208,22,46,126,35,92,260,429,41,48,880,885,63,279,108,6,3,120,92,7564,53,19,1568,20077
1268,129,1036,0,275,0,2320,58,199,25,14,80,6,46,134,204,32,18,418,351,27,79,38,13,0,8,24,3214,50,13,710,9521
1269,663,799,0,277,0,2134,73,450,13,20,36,19,67,132,194,17,29,399,274,10,283,215,10,0,75,17,3507,21,15,803,10552
1270,562,1259,0,524,0,3151,113,299,12,17,106,56,56,156,333,23,59,581,558,7,368,215,11,0,143,73,6059,45,15,1246,16047
1271,624,906,0,383,3,2101,82,262,29,15,46,24,73,114,197,28,101,398,405,6,441,215,7,0,143,57,4145,29,7,980,11821
1272,452,935,0,297,0,2040,28,242,10,23,44,28,45,163,185,52,35,420,395,7,257,117,11,0,69,32,3774,26,9,742,10438
1273,598,912,0,431,0,2416,57,659,12,8,55,26,73,111,281,38,18,464,357,13,339,142,9,0,47,41,3654,19,6,798,11584
1274,118,881,0,178,0,1482,10,93,28,6,50,0,19,116,202,7,26,254,319,22,0,11,28,3,0,62,4904,38,20,968,9845
1275,73,1157,0,227,70,2300,23,102,15,34,88,6,31,186,270,32,57,334,415,54,44,44,6,0,29,28,3459,25,3,687,9799
1276,123,1703,0,87,0,2301,6,59,45,3,69,4,42,143,301,30,25,577,414,12,0,17,3,0,3,55,6081,58,28,1383,13572
1277,73,1135,0,316,8,1748,29,70,38,15,54,4,53,92,211,24,50,373,321,27,33,40,3,0,14,44,3463,57,3,808,9106
1278,134,2138,0,446,110,4129,66,108,50,20,121,5,57,240,472,37,140,739,743,15,105,20,11,3,28,38,7112,26,13,1419,18545
1279,36,634,0,41,0,1015,23,24,38,19,17,0,11,35,109,6,44,188,310,4,3,3,0,3,0,26,2452,29,6,532,5608
1280,54,765,0,123,0,1259,48,33,11,23,47,0,16,79,182,19,26,257,289,18,9,20,10,0,3,21,2717,27,3,661,6720
1281,213,2359,0,1121,71,4528,85,225,42,102,148,6,111,342,459,91,134,788,797,53,175,95,22,0,87,75,8109,51,28,1670,21987
1282,137,925,0,112,0,1263,17,55,39,20,55,0,9,72,163,3,17,270,323,21,15,9,31,0,3,68,4805,74,45,1034,9585
1283,91,1020,0,215,0,1571,68,52,14,17,49,0,62,123,299,12,59,285,525,45,6,3,0,0,3,20,4211,18,19,807,9594
1284,89,824,0,139,9,1487,17,60,43,13,34,0,6,59,114,5,12,303,299,28,31,9,10,0,3,33,4980,46,24,825,9502
1285,57,847,0,142,7,1587,29,38,62,5,17,0,24,59,154,7,54,326,332,11,10,0,0,0,0,13,3162,33,8,586,7570
1286,190,1795,0,178,0,2186,43,44,44,18,73,3,34,57,417,21,246,421,634,10,17,7,9,0,8,98,7513,52,59,1735,15912
1287,251,1576,0,329,48,3237,17,135,56,36,36,28,39,210,227,6,38,401,513,3,269,168,3,0,131,27,4359,29,10,866,13048
1288,45,1316,0,88,0,2394,11,35,6,5,16,0,26,51,247,3,23,430,170,9,0,6,0,0,0,3,2846,13,15,805,8563
1289,151,2375,0,237,0,2940,19,160,32,27,62,4,29,82,378,10,23,592,528,20,18,22,24,0,0,60,8037,47,44,1812,17733
1290,47,1229,0,74,0,1757,0,43,0,17,9,0,0,67,249,11,12,382,172,7,20,19,0,0,11,14,2475,7,10,828,7460
1291,320,1892,0,373,0,4057,19,196,57,93,47,52,63,314,382,42,77,575,742,9,234,254,6,3,179,49,6740,78,13,1685,18551
1292,558,3286,0,652,9,6012,45,312,108,147,140,68,140,424,688,47,134,841,1063,41,559,426,12,0,490,76,9662,87,16,2274,28317
1293,442,2842,4,408,82,6096,53,449,59,52,75,65,62,297,602,39,55,864,649,31,305,321,6,0,97,35,7035,43,17,1668,22753
1294,1296,2298,0,373,34,6512,62,405,48,80,47,172,101,535,423,16,132,668,1033,14,1114,925,10,0,250,96,7214,49,25,1665,25597
1295,519,539,3,144,0,2093,4,627,33,53,25,39,82,172,232,36,43,135,518,9,602,2044,0,0,178,57,1972,3,9,1098,11269
1297,594,540,0,157,6,2303,10,364,47,57,24,158,48,192,182,3,57,168,455,0,407,2142,0,0,226,30,1648,16,9,875,10718
1299,111,737,0,239,0,2258,13,308,10,39,32,21,23,146,168,9,10,261,280,13,75,381,0,0,103,8,1803,3,4,640,7695
1300,521,2036,0,157,6,4286,12,350,45,128,46,59,103,348,500,40,103,418,734,16,719,886,6,0,480,73,5801,36,20,2040,19969
1301,1412,1987,4,320,0,5881,42,311,84,196,41,171,126,666,494,38,89,459,1041,6,1846,1045,24,0,1131,65,6329,33,12,1800,25653
1302,1137,1513,0,221,3,4580,15,340,74,111,12,120,74,420,387,32,71,313,704,4,1096,1552,25,0,551,30,5020,34,20,1602,20061
1303,68,1260,0,84,0,1989,10,153,8,18,12,4,15,66,204,10,3,325,203,4,22,60,3,0,3,10,3368,8,11,861,8782
1304,666,1022,4,143,0,3133,13,251,46,136,21,58,117,234,279,20,55,298,531,6,1065,863,15,4,723,53,3964,27,12,1200,14959
1305,1863,1219,0,346,0,6215,26,659,53,270,14,87,218,477,424,9,200,412,1073,39,1174,3090,3,0,585,94,4313,40,16,2556,25475
1306,1301,653,0,94,0,3717,14,333,34,62,12,143,57,406,127,19,36,168,482,7,1435,1332,3,0,866,41,2664,15,15,1173,15209
1308,43,1202,0,81,0,1556,10,90,3,3,7,0,6,53,223,12,0,246,179,0,12,15,0,0,0,17,3138,12,10,765,7683
1309,742,448,0,75,3,3455,25,2068,37,3,27,90,23,78,139,0,23,130,233,0,441,270,194,0,147,36,2048,18,9,799,11561
1310,1177,285,0,58,0,2327,25,1451,39,48,0,58,60,126,143,3,30,120,257,6,1105,786,77,0,658,38,2612,3,14,1047,12553
1311,1360,871,0,280,7,4268,24,1100,53,71,23,121,176,409,370,23,103,310,830,6,2560,9005,6,0,1058,89,3633,55,23,3546,30380
1312,1491,1108,0,233,0,5302,24,2010,86,72,33,176,96,285,443,41,54,346,816,18,1254,2698,11,0,283,137,3420,22,18,1854,22331
1313,260,1386,0,116,0,2823,10,523,50,33,27,26,16,137,254,6,16,374,208,13,164,110,97,0,10,24,2672,14,6,775,10150
1314,4866,1132,3,210,0,6445,24,968,71,41,28,55,88,364,276,3,28,348,753,21,1149,1319,38,0,365,84,5360,15,20,1832,25906
1316,672,320,0,76,3,1996,7,740,27,10,22,69,47,112,118,7,15,133,218,9,190,525,17,0,117,35,1381,7,5,559,7437
1317,4926,400,0,283,3,3757,31,685,12,37,22,17,51,71,153,4,62,246,458,15,722,2056,13,3,1317,67,4256,13,4,1982,21666
1318,4163,356,0,85,0,2218,4,376,36,32,6,33,46,93,105,6,35,138,312,0,250,356,6,0,414,47,2359,0,9,1107,12592
1319,975,1005,4,245,3,3742,21,1254,22,17,33,81,68,110,321,4,38,491,404,16,536,430,143,0,83,79,6127,27,20,1870,18169
1320,1602,521,0,162,4,3047,29,1099,31,3,19,50,112,192,295,9,27,261,491,6,1552,1167,38,0,470,79,8798,44,9,2076,22193
1321,1831,1489,0,619,3,3019,74,683,6,30,45,149,127,392,408,27,12,879,675,19,1702,460,32,3,119,78,6600,40,31,1437,20989
1322,2220,1020,0,447,3,2743,37,647,14,10,72,80,103,230,359,10,17,645,537,6,1473,392,22,0,157,97,6379,28,0,1442,19190
1323,1088,1159,0,351,0,2567,21,940,13,4,53,19,48,119,308,3,3,755,365,21,738,186,38,0,72,70,5058,18,11,1162,15190
1324,1231,1165,0,378,0,3590,18,1213,36,6,53,60,54,161,345,0,18,654,435,13,729,303,51,0,68,71,5901,26,10,1576,18165
1325,1374,1117,0,258,6,4877,28,2037,22,20,44,191,75,212,355,26,23,436,486,12,713,601,33,0,193,69,4496,10,10,1541,19265
1326,828,938,0,158,0,4865,9,2964,42,20,55,103,68,118,236,0,12,363,424,10,889,340,165,0,128,60,6183,45,6,1979,21008
1327,1036,1628,15,371,3,4579,42,1386,13,42,61,312,98,197,400,28,23,738,608,9,774,260,37,0,145,107,5422,17,4,1316,19671
1328,516,311,0,90,0,2052,6,247,23,13,26,53,51,131,110,3,12,58,174,7,560,637,6,0,219,22,1595,20,11,889,7842
1329,2017,117,0,30,0,2832,6,427,19,50,7,35,89,128,65,0,19,74,298,0,233,742,4,0,133,25,1626,6,6,632,9620
1330,2403,775,3,420,0,8008,24,1111,111,200,39,307,191,538,188,23,42,269,929,12,1014,1722,3,0,717,46,4485,16,12,2482,26090
1331,774,195,0,59,0,2924,3,645,53,20,11,63,42,83,61,6,19,56,405,0,184,498,0,0,205,6,1269,8,0,695,8284
1332,739,496,30,114,0,4814,3,1438,46,41,37,128,35,132,74,6,21,127,573,3,153,686,0,0,182,23,2221,9,6,996,13133
1333,2032,392,0,311,0,3922,3,957,31,45,32,103,40,200,123,11,56,80,640,9,211,924,0,0,171,41,2197,3,13,1190,13737
1334,2625,408,0,226,0,5718,10,1176,80,87,65,162,102,267,103,9,45,114,839,4,651,1135,3,0,1040,34,2989,9,12,2043,19956
1335,3012,233,0,193,3,4500,11,833,62,70,18,60,94,240,87,6,16,128,610,0,499,925,0,3,836,39,2801,13,7,1795,17094
1336,1003,291,0,469,0,2214,7,451,26,18,20,29,58,114,98,15,0,147,196,3,510,619,4,0,266,48,2180,7,0,936,9729
1337,2562,201,0,333,0,3480,6,270,48,9,12,31,60,146,74,3,10,70,265,10,273,515,3,0,104,26,2197,3,0,931,11642
1338,2277,454,0,303,0,5048,3,1663,91,44,31,137,75,278,188,9,32,96,626,3,472,1548,0,0,173,21,3304,11,5,1474,18366
1339,451,531,19,144,0,4118,6,698,77,3,35,139,65,161,102,30,28,133,425,3,528,461,0,0,691,7,1889,9,3,1156,11912
1340,432,866,7,155,0,7464,3,1894,31,4,24,254,45,190,143,21,13,251,620,6,329,676,4,0,192,34,2350,13,0,1178,17199
1341,220,1135,0,113,0,3816,14,420,9,20,60,20,43,47,266,29,6,322,195,0,160,197,3,0,43,20,4244,48,25,1123,12598
1342,634,1269,0,152,0,5924,38,1288,64,25,69,52,105,171,263,21,29,347,542,18,557,914,3,0,261,42,4667,26,12,1494,18987
1343,487,585,0,152,0,3743,0,1250,40,6,44,20,51,47,172,8,15,174,351,8,195,2076,6,0,50,19,3056,14,8,1304,13881
1344,226,1189,0,128,0,4382,14,981,26,6,57,19,25,74,249,4,0,400,415,0,193,482,24,0,30,49,7054,60,13,1353,17453
1345,158,293,0,41,0,1451,9,221,26,3,51,17,27,53,59,10,9,93,132,8,253,244,0,0,38,23,1471,6,3,424,5123
1346,174,1458,0,85,0,3938,12,839,7,23,49,23,53,34,302,13,10,473,256,3,78,128,12,0,6,13,5851,31,12,1393,15276
1347,2769,502,0,417,0,3863,9,490,6,9,6,113,99,227,160,9,13,157,409,3,710,1296,6,0,91,29,4813,18,10,1845,18079
1348,1419,413,0,106,0,2416,15,474,15,21,17,69,76,82,81,7,27,163,305,3,1035,967,3,0,49,43,6165,75,34,2177,16257
1349,1156,393,0,99,0,3397,6,543,23,11,20,48,40,63,96,0,3,166,264,6,400,311,3,0,26,25,3747,35,6,1244,12131
1350,424,399,0,58,0,1610,9,474,8,8,3,48,18,40,52,3,8,133,201,0,188,241,6,0,13,18,4349,33,0,851,9195
1351,696,451,0,80,0,2347,14,454,9,7,16,56,68,55,110,7,8,149,218,4,675,556,6,0,73,31,4078,48,21,1138,11375
1352,384,807,0,89,0,3024,3,1096,13,10,32,3,32,44,122,3,17,263,279,0,140,180,3,0,13,28,6723,61,13,1340,14722
1353,136,2427,0,209,3,5715,4,219,71,24,133,0,52,122,418,13,37,854,426,3,116,43,3,8,78,48,7270,78,23,1720,20253
1355,501,852,20,177,0,8126,19,1511,143,26,44,270,65,306,137,13,81,196,737,0,594,890,0,0,619,26,3155,11,3,1596,20118
1356,189,1990,0,305,74,5504,3,483,88,117,65,54,80,160,366,33,55,579,608,14,172,310,3,3,71,42,5492,45,33,1822,18760
1357,333,2233,10,360,45,6573,21,394,119,127,105,58,148,352,396,44,47,615,795,15,486,546,5,0,425,75,6808,58,26,2127,23346
1358,239,1724,0,178,43,5191,21,364,95,108,67,70,36,232,284,33,45,512,668,14,322,284,0,0,187,30,5031,41,18,1673,17510
1359,29,88,0,0,0,718,4,59,25,0,6,0,3,14,23,0,0,20,36,0,24,69,0,0,24,0,366,0,6,1497,3011
1360,838,552,0,140,0,7097,25,1583,36,23,30,315,91,250,106,10,88,190,787,7,886,1200,4,0,563,39,2865,4,3,1322,19054
1361,403,1582,0,408,0,5689,22,630,37,40,104,76,136,285,332,30,22,387,619,19,753,1432,4,0,311,35,4255,23,18,1549,19201
1362,530,1574,0,905,0,4896,30,506,40,64,96,46,116,280,310,45,31,477,665,13,936,1330,6,0,390,83,4417,23,3,1569,19381
1363,407,364,0,370,0,1600,21,145,23,16,14,18,29,113,99,11,11,108,331,4,1030,533,3,0,443,48,2112,12,15,906,8786
1365,824,1559,0,440,0,7268,62,609,146,199,101,227,309,658,381,10,67,476,1251,86,5092,4001,0,0,2710,92,5350,27,19,2666,34630
1366,648,592,0,179,3,3646,48,400,53,97,32,189,226,306,140,0,16,184,716,10,3421,4312,3,0,1671,96,3344,15,14,2858,23219
1368,144,979,0,233,40,4187,3,505,19,9,53,21,72,78,223,17,21,299,193,6,243,203,0,0,121,61,2487,3,13,1002,11235
1369,438,2201,0,452,26,5661,25,365,75,110,78,55,154,343,376,39,76,466,807,10,1535,901,10,0,655,72,6319,45,29,1885,23208
1370,365,2235,0,247,9,4289,19,393,66,147,56,34,77,274,537,32,78,390,615,16,634,268,10,0,77,72,7510,51,23,1971,20495
1371,323,2610,0,242,0,4128,30,455,53,72,62,60,57,245,508,17,25,582,611,5,184,83,42,0,31,105,9092,70,57,2614,22363
1372,201,2189,0,189,0,3725,12,342,58,96,62,8,49,167,579,46,40,401,616,26,84,149,21,0,40,126,7441,65,41,2313,19086
1373,115,2759,0,235,0,3598,43,396,52,49,62,35,54,167,505,16,10,655,434,3,60,45,15,0,0,37,7196,30,31,1475,18077
1374,199,3325,0,269,0,5003,35,261,34,49,61,21,42,281,728,3,26,675,787,16,50,33,7,0,9,60,9721,83,35,1913,23726
1375,165,1745,0,168,0,3329,9,340,43,75,51,18,54,128,445,20,14,434,359,18,63,69,50,0,13,70,6701,51,49,1783,16264
1376,188,1598,0,153,0,3011,21,318,101,56,44,30,39,171,255,26,26,319,536,16,247,203,35,0,36,28,4504,33,10,971,12975
1377,83,1749,0,132,0,2420,30,392,107,32,39,21,21,38,335,6,3,418,204,0,17,27,0,0,0,10,3883,17,10,918,10912
1378,32,909,0,34,0,791,9,31,6,12,13,0,9,16,137,0,3,240,74,3,6,7,14,0,13,3,2324,7,17,606,5316
1379,207,3511,0,239,0,4108,11,93,30,29,62,4,37,166,525,20,8,765,473,16,16,15,11,0,7,84,9154,76,22,2156,21845
1380,163,3965,0,372,0,5522,53,263,60,36,60,6,41,88,664,21,6,1031,455,27,37,29,16,0,8,40,8770,20,32,1981,23766
1381,152,3292,0,179,0,3666,19,241,14,55,50,0,29,25,450,9,0,758,337,6,67,9,20,0,14,27,7015,27,15,1314,17790
1382,110,3039,0,347,0,3946,30,202,24,69,49,15,45,58,401,9,11,706,408,9,14,7,25,0,6,22,7425,38,15,1406,18436
1383,121,2538,0,97,0,3731,25,307,94,25,37,3,22,31,537,14,3,508,241,9,6,18,19,0,8,28,6636,32,37,1795,16922
1384,136,3329,0,305,0,4074,49,272,192,49,67,3,33,55,732,107,9,911,387,6,35,6,9,0,6,49,7711,64,38,2080,20714
1385,121,3043,3,250,0,3552,13,125,46,37,41,0,44,120,534,29,6,583,430,0,21,21,0,0,0,37,7155,44,24,1646,17925
1386,32,911,0,36,0,1749,37,13,45,3,67,0,9,13,344,35,6,600,137,0,29,57,0,0,18,3,2708,3,3,1326,8184
1387,5,420,0,9,0,500,3,3,13,0,34,0,3,24,141,3,16,423,39,14,3,0,3,0,3,8,992,3,4,483,3149
1388,67,1753,0,66,0,2824,262,35,11,9,1366,6,9,229,334,56,23,2427,264,9,75,84,6,3,17,26,4851,20,6,1310,16148
1389,6,350,0,8,0,455,48,0,3,5,338,0,0,54,62,12,7,666,103,4,0,0,0,0,0,5,947,6,0,285,3364
1390,33,859,0,111,0,741,18,11,7,0,781,12,3,46,218,50,11,1427,184,8,28,19,0,6,0,3,1619,0,9,581,6785
1391,12,577,0,28,0,775,15,6,25,0,15,0,3,6,91,23,0,510,37,3,0,3,3,0,3,11,868,0,0,277,3291
1392,42,980,0,97,53,1327,23,6,16,8,113,0,3,28,236,40,12,1042,105,3,31,22,0,0,0,18,2889,6,0,839,7939
1393,8,434,0,6,0,579,11,10,0,0,114,0,7,18,97,7,10,359,45,0,0,3,0,0,3,3,740,10,4,270,2738
1394,16,913,0,84,0,1097,4,18,3,11,517,4,9,66,142,7,8,1103,110,0,13,7,0,0,6,11,1735,3,3,683,6573
1395,39,877,0,18,0,1991,23,107,9,7,70,0,14,51,184,12,56,437,110,21,10,7,0,3,21,8,2136,16,0,576,6803
1396,24,639,0,29,0,1104,33,25,4,0,76,0,3,61,101,4,17,386,94,9,3,20,3,0,3,3,1608,4,0,485,4738
1398,13,471,0,18,10,660,8,3,12,9,99,0,14,6,106,7,14,503,40,3,9,11,0,0,16,0,1260,7,0,395,3694
1399,61,725,0,15,0,1118,27,29,36,8,49,0,7,131,121,43,13,373,120,17,4,38,0,0,13,9,2191,3,3,675,5829
1400,9,728,0,76,0,1629,4,12,0,4,28,3,8,28,213,8,0,1127,104,11,18,0,0,0,0,6,1467,6,0,667,6156
1401,17,1260,0,154,0,1391,7,6,0,3,28,8,3,29,213,0,0,841,117,0,7,3,0,0,4,3,1941,5,0,560,6600
1402,9,644,0,200,87,775,3,23,0,0,3,0,0,14,191,0,3,332,119,0,20,0,0,0,5,3,1008,3,0,424,3866
1403,293,235,0,18,0,917,5,87,3,36,3,0,120,28,47,0,35,182,69,0,40,43,0,0,9,0,634,0,0,520,3324
1404,76,1272,0,41,150,2700,132,9,5,10,22,0,17,61,381,33,3,907,250,3,47,269,0,0,129,0,2949,7,0,1295,10768
1405,42,884,0,33,0,1397,69,17,0,4,30,0,10,35,180,0,0,650,58,0,14,14,0,3,15,6,1904,11,4,953,6333
1406,56,2464,0,168,4,3605,31,25,15,23,66,7,10,131,513,37,10,1161,256,3,25,3,0,3,3,6,4465,25,10,1355,14480
1407,31,1777,0,112,0,2589,9,17,12,6,24,0,27,258,469,46,12,939,258,3,31,46,0,0,6,18,3042,31,0,1048,10811
1408,0,706,0,36,0,858,6,4,0,0,15,0,8,25,125,16,3,419,44,3,0,0,0,0,0,3,1074,0,5,426,3776
1409,23,646,0,15,0,913,0,9,3,5,7,0,0,10,307,93,0,380,47,0,9,0,0,0,0,4,1043,0,0,339,3853
1410,37,670,0,32,0,977,0,19,18,4,20,3,6,47,186,3,9,301,73,0,0,12,0,0,0,6,1135,0,6,400,3964
1411,58,928,0,15,0,2077,0,23,25,5,16,0,6,44,219,11,7,489,35,0,23,151,0,0,101,9,1401,0,0,646,6289
1412,13,433,0,31,5,672,3,6,3,0,19,0,0,16,102,7,3,260,27,0,0,8,0,0,0,4,670,0,0,278,2560
1413,37,1818,0,95,80,3173,60,45,8,19,15,4,23,51,545,26,24,1154,200,0,19,22,0,0,3,12,3571,7,10,1050,12071
1414,29,1404,0,24,0,2380,18,13,12,0,16,0,17,55,327,0,0,547,79,0,34,14,3,0,14,6,1869,7,0,908,7776
1415,39,1200,0,45,0,1903,13,28,62,30,13,0,9,103,244,23,6,516,136,3,34,105,0,3,40,21,2448,25,11,827,7887
1416,185,1932,0,90,85,4929,38,224,37,40,43,37,38,253,598,30,19,958,434,3,222,898,6,4,282,22,4948,22,18,2048,18443
1417,177,2343,0,151,0,5362,49,422,82,55,84,3,32,214,695,22,21,1326,473,3,199,2434,6,0,425,60,5850,23,12,2459,22982
1418,12,485,0,26,0,919,10,22,3,0,10,0,0,33,158,0,0,477,53,3,6,27,0,0,3,6,1209,10,0,387,3859
1419,67,1341,0,50,0,2621,9,34,7,6,11,0,15,216,449,3,7,627,196,8,28,90,0,3,54,14,2833,21,0,1355,10065
1420,30,1304,0,99,6,1361,16,11,6,7,186,0,13,70,439,16,9,1044,176,0,3,10,0,6,0,13,2851,18,3,927,8624
1421,49,1183,0,141,98,1808,3,10,52,4,674,3,4,85,625,25,9,1121,130,0,26,10,0,4,6,11,2948,10,4,807,9850
1422,76,1379,0,198,0,1741,21,12,39,3,329,3,9,79,587,41,3,892,248,3,24,17,0,0,0,24,3706,19,4,1222,10679
1423,11,752,0,46,0,1153,5,10,7,4,495,0,3,12,317,4,11,834,143,6,0,0,4,0,4,7,1595,3,3,583,6012
1424,673,927,0,565,0,2826,41,1321,14,21,60,106,148,210,294,16,5,408,462,6,272,410,32,0,86,80,4475,26,3,1015,14502
1425,815,891,0,362,0,2391,47,1028,46,20,56,111,140,191,280,24,16,397,412,10,310,453,30,0,108,60,4660,16,17,1013,13904
1426,341,988,7,100,0,3016,16,1464,22,0,28,27,31,33,215,0,3,338,184,8,422,75,1559,0,66,52,4394,18,12,1253,14672
1427,253,985,0,60,0,3444,9,1142,30,0,41,24,17,59,233,9,15,301,227,35,223,75,1026,0,23,42,3880,39,3,973,13168
1428,882,714,3,91,0,3963,20,2225,31,6,13,36,39,53,117,18,0,166,479,3,549,974,18,0,86,48,6964,78,25,2214,19815
1429,266,396,0,43,0,3175,12,1047,14,0,21,16,9,35,65,20,3,155,205,6,245,793,10,0,44,49,4325,55,9,1063,12081
1430,289,2107,0,252,68,5590,20,723,88,97,37,83,57,312,374,28,44,469,693,9,269,217,3,0,153,34,7485,32,8,1362,20903
1431,373,770,6,102,0,3647,3,1356,14,22,11,35,47,128,194,20,9,204,563,3,597,1217,0,0,452,13,2229,3,13,991,13022
1432,316,456,0,39,0,2192,0,831,15,32,3,42,18,38,141,8,12,92,286,3,393,628,0,0,403,14,1564,9,9,713,8257
1433,461,187,0,67,0,2613,5,960,30,23,3,49,53,154,46,7,7,57,508,3,992,1437,5,0,794,33,1454,6,4,886,10844
1434,384,1015,10,153,3,4450,3,1044,37,31,7,89,64,342,186,19,47,244,613,10,878,619,3,3,346,36,4248,27,20,1344,16275
1435,239,565,0,102,0,4209,0,1274,26,20,19,134,39,154,109,18,14,134,595,0,637,448,3,0,323,35,2164,21,16,683,11981
1436,233,773,6,111,0,4088,3,1038,35,23,10,81,33,158,195,17,17,218,476,6,494,413,0,3,213,29,2486,16,12,736,11923
1437,291,164,6,40,0,2118,9,639,30,28,7,99,37,88,69,11,37,63,343,0,979,1122,0,0,1027,15,1046,9,0,794,9071
1438,658,967,22,123,0,5972,14,863,51,79,41,66,67,92,205,8,6,289,353,15,1638,4152,3,3,377,59,3780,20,12,1981,21916
1439,95,197,26,12,0,1190,0,140,3,0,5,9,4,10,43,0,0,88,73,0,113,55,0,0,0,0,625,0,0,209,2897
1440,49,236,0,18,0,2094,0,311,26,3,14,0,7,16,53,3,0,56,95,0,59,1144,3,0,14,0,851,0,9,469,5530
1441,193,600,60,66,0,2367,15,275,36,57,9,27,30,63,130,7,10,205,227,3,323,574,0,4,485,84,1738,0,0,728,8316
1442,388,463,88,57,0,3338,7,421,42,65,11,57,54,127,97,6,39,142,416,0,766,1381,0,0,814,41,1680,0,7,906,11413
1443,641,842,192,61,0,5117,23,357,55,75,15,92,78,140,172,27,35,237,493,14,873,1819,0,3,983,74,2615,22,13,1203,16271
1444,658,385,171,55,0,3408,25,264,54,112,7,94,45,222,91,8,51,146,386,0,1418,2186,6,0,1375,29,1778,12,19,1061,14066
1445,95,200,15,32,0,1222,0,161,16,18,3,22,5,40,47,0,14,63,97,0,129,175,3,0,168,7,586,5,0,247,3370
1446,482,2269,0,455,42,3993,55,286,41,86,139,33,74,283,519,71,52,666,799,88,468,178,11,0,107,87,8612,55,29,1955,21935
1447,336,1524,0,325,43,2716,30,195,41,16,79,22,43,142,350,43,35,427,500,23,192,54,16,0,54,58,5350,34,17,1163,13828
1448,308,1580,0,273,9,3429,27,250,47,22,70,29,49,188,335,25,29,455,440,29,155,86,13,0,24,54,5478,38,18,1093,14553
