SA2,Buddhism_P,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_P,Christianity_Brethren_P,Christianity_Catholic_P,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_P,Christianity_Christian_nfd_P,Christianity_Othr_Christian_P,Hinduism_P,Islam_P,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_P,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_P,Religious_affiliation_ns_P,tot_p
1119,94,478,0,32,0,909,5,80,0,0,12,0,11,19,87,3,0,127,56,0,33,25,26,0,0,3,2116,24,3,729,4872
1121,462,464,0,48,0,2094,3,151,7,0,45,49,22,72,90,14,5,155,174,0,115,394,6,0,17,13,5092,43,7,1118,10660
1122,4341,641,3,290,0,3590,32,172,13,13,32,10,195,357,383,6,6,385,814,6,2092,1053,59,0,61,110,16835,60,24,5529,37112
1123,1068,617,0,111,0,2565,0,284,9,6,29,65,51,116,160,0,4,242,366,12,502,1249,48,0,12,74,9502,142,10,3238,20482
1124,235,386,9,54,0,1138,0,85,0,0,17,7,31,34,82,3,0,137,90,3,142,243,20,0,3,22,3332,68,6,1142,7289
1125,142,732,0,19,0,907,0,88,0,0,17,0,7,24,67,0,4,145,77,0,119,68,140,0,0,3,2496,28,3,953,6039
1126,1056,658,0,117,0,2845,0,271,9,13,42,9,84,174,193,3,3,230,378,0,802,469,70,0,66,61,7807,63,15,3122,18560
1128,332,1425,0,67,0,2911,11,1050,24,6,26,21,26,52,239,3,3,297,220,0,352,128,151,0,0,28,6025,32,16,1833,15278
1129,177,1048,0,62,0,2607,0,380,13,10,56,17,26,39,141,0,4,179,178,0,135,56,467,0,14,34,7347,96,51,1996,15133
1130,230,1503,3,78,0,3512,0,1101,11,0,68,28,30,57,218,0,0,341,235,10,70,235,141,0,10,25,6183,51,33,1925,16098
1132,309,906,0,89,0,1959,0,473,12,0,25,0,40,73,158,3,0,258,207,9,172,245,205,3,7,31,4667,51,25,1572,11499
1133,474,1426,0,105,0,4303,0,548,17,6,47,3,87,81,228,9,9,261,335,3,689,267,670,0,20,108,11454,125,73,4544,25892
1134,289,712,0,66,0,2471,3,437,17,7,20,3,23,34,98,0,7,141,153,9,555,89,1880,0,30,49,6916,80,44,2143,16276
